name,url,logo,categories,creation date,region,street,zip_code,city,address,lat,lon
Fielddrive,http://www.fielddrive.eu/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Fielddrive_squared.png,Image & video processing,2015.0,Flanders,Mechelsesteenweg 303,2830,Willebroek,Mechelsesteenweg 303 2830 Willebroek,51.0488422,4.3761963
Flexible Robotic Solutions,http://www.frsrobotics.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Flexible-Robotic-Solutions_squared.png,Industrial,2013.0,Flanders,Kapeldreef 60,3001,Leuven,Kapeldreef 60 3001 Leuven,50.8620767,4.6715625
Foresightee,http://www.foresightee.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Foresightee_squared.png,"Agritech, Cleantech & energy",2019.0,Flanders,Esplanade Simone VEIL 1,4000,Liège,Esplanade Simone VEIL 1 4000 Liège,50.626349,5.5714132
Freemind,http://www.freemind-group.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/logo-temp_squared.png,Services,2011.0,Brussels,Izabellapolder 3,8300,Knokke-Heist,Izabellapolder 3 8300 Knokke-Heist,51.3258284,3.3073224
Froomle,http://www.froomle.ai/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Froomle_squared.png,Sales & Marketing,2016.0,Flanders,Borsbeeksebrug 28/0,2600,Antwerpen,Borsbeeksebrug 28/0 2600 Antwerpen,51.2002632,4.4381487
Hyler,http://www.hyler.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Hyler_squared.png,"Agritech, Cleantech & energy",2016.0,Flanders,Oude Gentstraat 28A,8760,Tielt,Oude Gentstraat 28A 8760 Tielt,50.9497344,3.2977331
icoMetrix,http://www.icometrix.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/icoMetrix_squared.png,Healthcare & biotech,2011.0,Flanders,Kolonel Begaultlaan 1B / 12,3012,Leuven,Kolonel Begaultlaan 1B / 12 3012 Leuven,50.9033441,4.7070761
Infinity Mobile,http://infinity-mobile.io/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Infinity-Mobile_squared.png,Legal & FinTech,2015.0,Flanders,Hoogstraat 29,9850,Deinze,Hoogstraat 29 9850 Deinze,51.0262579,3.5527757
InvestSuite,http://www.investsuite.eu/,https://community.ai4belgium.be/ai-landscape//landscape_logos/InvestSuite_squared.png,Legal & FinTech,2018.0,Flanders,Sluisstraat 79 / 301,3000,Leuven,Sluisstraat 79 / 301 3000 Leuven,50.8872088,4.70017
Iqunet,http://iqunet.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Iqunet_squared.png,Industrial,2015.0,Flanders,Broekstraat 82,9220,Hamme (Vl.),Broekstraat 82 9220 Hamme (Vl.),,
Ivex,http://www.ivex.ai/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Ivex_squared.png,"Automotive, mobility & travel",2017.0,Flanders,Kapeldreef 60,3001,Leuven,Kapeldreef 60 3001 Leuven,50.8620767,4.6715625
JiGSO,http://jigso.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/JiGSO_squared.png,HR & Skills,2018.0,Flanders,Antwerpsesteenweg 61,2660,Antwerpen,Antwerpsesteenweg 61 2660 Antwerpen,51.1452944,4.3788004
Kantify,http://kantify.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/logo-6_squared.png,Services,2016.0,Brussels,Avenue Louise 54,1050,Ixelles,Avenue Louise 54 1050 Ixelles,,
Kerberos,http://kerberos.io/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Kerberos_squared.png,"Security, Cyber-Security",2014.0,Flanders,Steenweg op Dendermonde 43,9308,Aalst,Steenweg op Dendermonde 43 9308 Aalst,50.9676537,4.0379048
Keyrock,http://keyrock.eu/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Keyrock_squared.png,Legal & FinTech,2017.0,Brussels,Avenue Louise 480,1050,Ixelles,Avenue Louise 480 1050 Ixelles,,
LiNGUiNEO,http://www.linguineo.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/LiNGUiNEO_squared.png,Chatbots & Assistants,2016.0,Flanders,Bottelarij 14 / 2,3000,Leuven,Bottelarij 14 / 2 3000 Leuven,50.8857153,4.6983437
Look,http://www.look-app.net/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Look_squared.png,"Social (Education, Civic Tech, Entertainment, etc)",2016.0,Wallonia,SPACEROWA 13,-,NOWY KREPIEC,SPACEROWA 13 - NOWY KREPIEC,51.2091673,22.7470671
Lynxcare,http://lynxcare.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Lynxcare_squared.png,Healthcare & biotech,2015.0,Flanders,Tiensevest 132,3000,Leuven,Tiensevest 132 3000 Leuven,50.8764487,4.714972
Mabo E&A,http://www.agv-automation.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Mabo-EngineeringAutomation_squared.png,"Automotive, mobility & travel",2011.0,Flanders,Rue Hankar 6,7080,Frameries,Rue Hankar 6 7080 Frameries,50.4111218,3.8949473
Macty,http://macty.eu/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Macty_squared.png,Image & video processing,2015.0,Flanders,Interleuvenlaan 62,3001,Leuven,Interleuvenlaan 62 3001 Leuven,50.8488429,4.736135
Magics Instruments,http://www.magics.tech/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Magics-Instruments_squared.png,Industrial,2015.0,Flanders,TH. EDISONWEG 10,5151 DJ,DRUNEN,TH. EDISONWEG 10 5151 DJ DRUNEN,,
Medical Robots,http://www.medical-robots.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Medical-Robots_squared.png,Healthcare & biotech,2016.0,Flanders,Ganzenstraat 37,2440,Geel,Ganzenstraat 37 2440 Geel,51.1768474,4.9638331
MH Automation,http://www.armin-robot.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/MH-Automation.jpeg,Industrial,2013.0,Wallonia,rue de la Maitrise 5C,1400,Nivelles,rue de la Maitrise 5C 1400 Nivelles,50.5819115,4.3580281
mindspeller,http://www.mindspeller.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/mindspeller_squared.png,Sales & Marketing,2015.0,Flanders,Duigemhofstraat 101,3020,Herent,Duigemhofstraat 101 3020 Herent,50.9088096,4.6542664
Mintt,https://mintt.care/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Mintt_squared.png,Image & video processing,2014.0,Wallonia,Avenue Louise 251,1050,Ixelles,Avenue Louise 251 1050 Ixelles,,
ML2Grow,http://www.ml2grow.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/ML2Grow_squared.png,Sales & Marketing,2017.0,Flanders,Victoriastraat 52,9000,Gent,Victoriastraat 52 9000 Gent,51.0345112,3.7243577
Motulus,https://motulus.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Motulus_squared.png,"Automotive, mobility & travel",2015.0,Flanders,Antwerpsesteenweg 61,2660,Antwerpen,Antwerpsesteenweg 61 2660 Antwerpen,51.1452944,4.3788004
Movetex,http://movetex.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Movetex_squared.png,"Automotive, mobility & travel",2014.0,Flanders,Provincieweg 405,9550,Herzele,Provincieweg 405 9550 Herzele,50.8969651,3.861701
Musimap,http://www.musimap.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Musimap_squared.png,"Social (Education, Civic Tech, Entertainment, etc)",2015.0,Wallonia,Avenue Georges Benoidt 21,1170,Watermael-Boitsfort,Avenue Georges Benoidt 21 1170 Watermael-Boitsfort,50.7993301,4.4147074
NGData,http://www.lilyproject.org/,https://community.ai4belgium.be/ai-landscape//landscape_logos/NGData_squared.png,Legal & FinTech,2012.0,Flanders,Ottergemsesteenweg-Zuid 808 / 380,9000,Gent,Ottergemsesteenweg-Zuid 808 / 380 9000 Gent,51.0145687,3.7336591
Nviso,http://www.nviso.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Nviso_squared.png,"Security, Cyber-Security",2013.0,Brussels,Rue Guimard 8,1040,Bruxelles,Rue Guimard 8 1040 Bruxelles,50.8440681,4.369315
Odase,http://www.odaseontologies.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/odaseontologies_squared.png,Services,2015.0,Brussels,Square de Meeûs 38-40,1000,Bruxelles,Square de Meeûs 38-40 1000 Bruxelles,50.8405341,4.3696577
OncoDNA,http://www.oncoshare.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/OncoDNA_squared.png,Healthcare & biotech,2012.0,Wallonia,Rue Louis Breguet 1,6041,Charleroi,Rue Louis Breguet 1 6041 Charleroi,50.473608,4.4711233
Oncoradiomics,http://www.oncoradiomics.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Oncoradiomics_squared.png,Healthcare & biotech,2016.0,Wallonia,Boulevard de Patience et Beaujonc 3,4000,Liège,Boulevard de Patience et Beaujonc 3 4000 Liège,50.6476108,5.5374889
Ontoforce,http://www.ontoforce.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Ontoforce_squared.png,Healthcare & biotech,2011.0,Flanders,Moutstraat 108-110,9000,Gent,Moutstraat 108-110 9000 Gent,51.0291438,3.7331026
Open Analytics,http://www.openanalytics.eu/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Open-Analytics_squared.png,"RPA, Internal Data & Intelligence",2013.0,Flanders,Jupiterstraat 20,2600,Antwerpen,Jupiterstraat 20 2600 Antwerpen,51.2007971,4.4400046
OTIV,http://www.otiv.ai/,https://community.ai4belgium.be/ai-landscape//landscape_logos/OTIV_squared.png,"Automotive, mobility & travel",2020.0,Flanders,Nieuwewandeling 62,9000,Gent,Nieuwewandeling 62 9000 Gent,51.0552209,3.7068009
Otrema,http://www.otrema.eu/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Otrema_squared.png,"Agritech, Cleantech & energy",2015.0,Brussels,Avenue de la Croix du Sud 4,1200,Woluwe-Saint-Lambert,Avenue de la Croix du Sud 4 1200 Woluwe-Saint-Lambert,50.8503214,4.4179882
Phished,http://phished.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Phished_squared.png,"Security, Cyber-Security",2019.0,Flanders,Bondgenotenlaan 138,3000,Leuven,Bondgenotenlaan 138 3000 Leuven,50.8807344,4.7130468
Pick-it,http://www.pickit3d.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Pick-it_squared.png,Industrial,2016.0,Flanders,Rue du Duc 23,1150,Woluwe-Saint-Pierre,Rue du Duc 23 1150 Woluwe-Saint-Pierre,50.83765,4.41475
PixelVision,http://www.pixelvision.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/PixelVision_squared.png,Image & video processing,2015.0,Flanders,Kempische steenweg 303 / 23,3500,Hasselt,Kempische steenweg 303 / 23 3500 Hasselt,50.9533153,5.3486688
Piximate,http://www.piximate.net/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Piximate_squared.png,Image & video processing,2016.0,Wallonia,Avenue Reine Astrid 92,1310,La Hulpe,Avenue Reine Astrid 92 1310 La Hulpe,50.7270455,4.4721739
Qaelum,https://qaelum.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Qaelum_squared.png,Healthcare & biotech,2011.0,Flanders,Kolonel Begaultlaan 1B,3012,Leuven,Kolonel Begaultlaan 1B 3012 Leuven,50.9033441,4.7070761
Reimagine,http://www.reimagine.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Logo-Reimagine_squared.png,Services,2018.0,Wallonia,Lenneke Marelaan 6,1932,Zaventem,Lenneke Marelaan 6 1932 Zaventem,50.8554395,4.4486708
Retailsonar,http://retailsonar.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Retailsonar_squared.png,Retail & telecom,2011.0,Flanders,Ferdinand Lousbergskaai 103 / 3,9000,Gent,Ferdinand Lousbergskaai 103 / 3 9000 Gent,51.0454472,3.7395518
RetViews,http://retviews.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/RetViews_squared.png,Retail & telecom,2017.0,Brussels,Avenue Louise 123,1050,Bruxelles,Avenue Louise 123 1050 Bruxelles,50.8301223,4.3603609
RiskConcile,http://www.riskconcile.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/RiskConcile_squared.png,Legal & FinTech,2015.0,Flanders,Kolonel Begaultlaan 1a / 4A,3012,Leuven,Kolonel Begaultlaan 1a / 4A 3012 Leuven,50.9033441,4.7070761
Roborana,http://roborana.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Roborana_squared.png,"Security, Cyber-Security",2017.0,Flanders,Veldkant 33 A,2550,Kontich,Veldkant 33 A 2550 Kontich,51.1424488,4.4427143
Robovision,http://www.robovision.ai/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Robovision_squared.png,Image & video processing,2011.0,Flanders,Foreestelaan 88,9000,Gent,Foreestelaan 88 9000 Gent,51.0311365,3.7342819
Sagacify,http://www.sagacify.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/new_logo_squared.png,Services,2012.0,Brussels,Avenue de Broqueville 12,1150,Woluwe-Saint-Pierre,Avenue de Broqueville 12 1150 Woluwe-Saint-Pierre,50.8381714,4.4099349
Sailsense,http://www.sailsense.io/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Sailsense_squared.png,"Automotive, mobility & travel",2017.0,Brussels,Avenue Louise 54,1050,Bruxelles,Avenue Louise 54 1050 Bruxelles,50.8334045,4.3581481
Salesflare,https://salesflare.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Salesflare_squared.png,Sales & Marketing,2014.0,Flanders,Delacenseriestraat 14,2018,Antwerpen,Delacenseriestraat 14 2018 Antwerpen,51.2115898,4.4226184
Say It Labs,http://www.sayitlabs.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Say-It-Labs_squared.png,Speech & Text,2019.0,Flanders,Domeinstraat 58,3010,Leuven,Domeinstraat 58 3010 Leuven,50.8993038,4.7218439
SCM Revamp,http://www.scmrevamp.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/SCM-Revamp_squared.png,Industrial,2011.0,Wallonia,Clos Saint Feuillien(R) 5,7070,Le Roeulx,Clos Saint Feuillien(R) 5 7070 Le Roeulx,50.5083955,4.1164362
